Upper Cook Inlet commercial harvest by day by species 1985 to 2014,,,,,,,,
,,,,,,,,
,,,,Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum)
Batch Year,Date Fishing Began (MM/DD),Stat Area Name,Stat Area,"salmon, chinook","salmon, chum","salmon, coho","salmon, pink","salmon, sockeye"
1988,08/08,Trading Bay,24710,2,541,"1,568",117,144
1988,08/08,Tuxedni Bay,24530,1,754,539,71,92
1988,08/08,Tyonek,24720,1,650,"1,489",255,263
1988,08/08,Unknown,24430,80,35,"1,091","10,100","2,435"
1988,08/08,Unknown,24440,42,345,"2,996","5,206","2,170"
1988,08/08,West Foreland,24560,,108,877,164,233
1988,08/08,West Side,24610,5,108,"1,735",301,951
1988,08/08,,24450,4,"2,903","2,023","5,177",894
1988,08/08,,24460,5,"6,179","3,392","13,415","1,942"
1988,08/08,,24470,,519,352,"1,250",106
1988,08/08,,24570,1,103,132,28,12
1988,08/08,,24580,,907,575,"2,571",268
1988,08/08,,24590,,951,396,439,358
1988,08/10,,24590,,107,15,36,32
1988,08/12,#3 Bay,24790,,4,960,110,96
1988,08/12,Beluga,24730,,163,153,11,14
1988,08/12,Birch Hill,24780,,19,695,96,93
1988,08/12,Chinitna,24510,,"3,107",819,17,4
1988,08/12,Cohn,24422,41,44,"1,039","4,737",457
1988,08/12,East Side,24620,3,27,380,171,740
1988,08/12,Fire Island,24743,,571,"1,363",149,61
1988,08/12,Knik,24750,,7,,,
1988,08/12,Ninilchik,24421,5,31,416,"1,866",193
1988,08/12,Polly Creek,24540,2,218,590,336,237
1988,08/12,Pt. Mackenzie,24742,,195,437,60,24
1988,08/12,Pt. Possession,24770,,97,626,47,63
1988,08/12,Silver Salmon,24520,8,80,"1,069",688,142
1988,08/12,Susitna Flats,24741,3,170,393,40,47
1988,08/12,Trading Bay,24710,,273,"1,187",104,91
1988,08/12,Tuxedni Bay,24530,,492,331,40,55
1988,08/12,Tyonek,24720,,203,580,51,57
1988,08/12,Unknown,24430,36,80,"1,262","6,942",835
1988,08/12,Unknown,24440,56,149,"4,543","14,975","3,700"
1988,08/12,West Foreland,24560,,10,296,13,11
1988,08/12,West Side,24610,3,35,"1,217",448,740
1988,08/12,,24450,3,"1,006",862,"5,805",336
1988,08/12,,24460,,"2,364","2,073","10,652",536
1988,08/12,,24470,,22,32,69,3
1988,08/12,,24580,,172,213,267,39
1988,08/12,,24590,,668,"1,166","1,562",75
1988,08/15,#3 Bay,24790,,1,477,266,121
1988,08/15,Beluga,24730,,"1,589",296,90,51
1988,08/15,Big River,24555,,,118,1,12
1988,08/15,Birch Hill,24780,1,87,602,49,45
1988,08/15,Chinitna,24510,1,"5,483","7,819",209,120
1988,08/15,Cohn,24422,13,19,729,"1,232",123
1988,08/15,Fire Island,24743,,188,307,37,18
1988,08/15,Ninilchik,24421,1,,207,461,49
1988,08/15,Polly Creek,24540,4,287,836,339,270
1988,08/15,Pt. Mackenzie,24742,,62,172,4,7
1988,08/15,Pt. Possession,24770,,253,"1,388",303,149
1988,08/15,Silver Salmon,24520,1,7,115,472,105
1988,08/15,Susitna Flats,24741,,178,390,53,45
1988,08/15,Trading Bay,24710,,307,732,53,75
1988,08/15,Tuxedni Bay,24530,,736,545,115,116
1988,08/15,Tyonek,24720,,"1,220","1,190",220,140
1988,08/15,Unknown,24430,31,16,"2,092","3,881",709
1988,08/15,Unknown,24440,21,33,"1,855","6,068","1,566"
1988,08/15,West Foreland,24560,,11,97,28,9
1988,08/15,West Side,24610,1,368,"1,719",905,876
1988,08/15,,24450,2,917,"1,035","1,740",123
1988,08/15,,24460,2,960,"1,515","2,834","2,971"
1988,08/15,,24580,2,535,964,"1,523",103
1988,08/15,,24590,,220,488,57,196
1988,08/16,Knik,24750,,23,,1,
1988,08/19,#3 Bay,24790,1,35,976,173,53
1988,08/19,Birch Hill,24780,1,20,"1,565",317,134
1988,08/19,Chinitna,24510,,"2,233","4,732",122,219
1988,08/19,East Side,24620,,111,158,25,71
1988,08/19,Fire Island,24743,,15,44,5,
1988,08/19,Knik,24750,,86,20,2,
1988,08/19,Little Jack Slough,24550,,3,71,3,113
1988,08/19,Polly Creek,24540,,147,"1,356",59,63
1988,08/19,Pt. Mackenzie,24742,,13,20,,2
1988,08/19,Pt. Possession,24770,3,92,581,209,55
1988,08/19,Silver Salmon,24520,2,91,"1,716",55,7
1988,08/19,Susitna Flats,24741,,89,209,14,5
1988,08/19,Trading Bay,24710,,212,440,54,14
1988,08/19,Tuxedni Bay,24530,,451,"1,062",51,127
1988,08/19,Tyonek,24720,,549,458,96,49
1988,08/19,West Side,24610,1,204,"3,104",392,729
1988,08/19,,24450,,235,494,202,19
1988,08/19,,24460,,88,311,116,23
1988,08/19,,24470,,47,82,22,4
1988,08/19,,24570,,92,,,
1988,08/19,,24580,,24,91,12,3
1988,08/19,,24590,,7,36,1,2
1988,08/22,#3 Bay,24790,1,,842,53,29
1988,08/22,Birch Hill,24780,,6,567,23,16
1988,08/22,Chinitna,24510,1,"1,450","2,660",20,127
1988,08/22,East Side,24620,,46,119,11,18
1988,08/22,Fire Island,24743,,64,795,18,4
1988,08/22,Knik,24750,,111,38,,
1988,08/22,Little Jack Slough,24550,,,53,,9
1988,08/22,Polly Creek,24540,,12,87,3,12
1988,08/22,Pt. Mackenzie,24742,,18,213,,
1988,08/22,Pt. Possession,24770,1,22,"1,430",33,49
1988,08/22,Silver Salmon,24520,,6,786,9,13
1988,08/22,Trading Bay,24710,,30,123,4,
1988,08/22,Tuxedni Bay,24530,,106,361,11,63
1988,08/22,Tyonek,24720,,27,690,4,105
1988,08/22,West Foreland,24560,,14,91,4,
1988,08/22,West Side,24610,,279,"1,179",217,254
1988,08/22,,24450,,18,59,1,
1988,08/22,,24590,,200,"1,045",6,3
1988,08/25,Knik,24750,,382,134,,
1988,08/26,#3 Bay,24790,,12,977,10,43
1988,08/26,Birch Hill,24780,,4,330,2,8
1988,08/26,Chinitna,24510,,229,"1,406",4,2
1988,08/26,East Side,24620,1,35,488,14,139
1988,08/26,Fire Island,24743,,18,157,,
1988,08/26,Little Jack Slough,24550,,,62,4,13
1988,08/26,Polly Creek,24540,,,70,,13
1988,08/26,Pt. Mackenzie,24742,,5,56,,
1988,08/26,Pt. Possession,24770,2,33,839,25,25
1988,08/26,Silver Salmon,24520,,,174,1,2
1988,08/26,Tuxedni Bay,24530,,121,257,26,27
1988,08/26,Tyonek,24720,,108,678,19,21
1988,08/26,West Foreland,24560,,2,110,2,6
1988,08/26,West Side,24610,1,38,470,18,127
1988,08/26,,24450,,15,18,7,2
1988,08/26,,24580,,4,57,6,23
1988,08/26,,24590,1,270,"1,625",4,4
1988,08/28,Knik,24750,,296,98,,
1988,08/29,#3 Bay,24790,,1,884,11,27
1988,08/29,Birch Hill,24780,1,3,290,1,2
1988,08/29,Chinitna,24510,,196,"1,561",3,19
1988,08/29,Fire Island,24743,,2,93,1,3
1988,08/29,Little Jack Slough,24550,,,210,,25
1988,08/29,Polly Creek,24540,,1,392,10,33
1988,08/29,Pt. Mackenzie,24742,,,100,1,1
1988,08/29,Pt. Possession,24770,,11,323,6,5
1988,08/29,Silver Salmon,24520,,1,844,1,5
1988,08/29,Trading Bay,24710,,1,182,,4
1988,08/29,Tuxedni Bay,24530,,3,45,,
1988,08/29,Tyonek,24720,,5,138,1,5
1988,08/29,West Side,24610,,35,"1,141",16,151
1988,08/29,,24450,,,9,,
1988,08/29,,24470,,5,30,,
1988,08/29,,24590,,59,624,3,90
1988,09/01,Knik,24750,,432,130,,
1988,09/02,Birch Hill,24780,,,86,,3
1988,09/02,Chinitna,24510,,101,965,3,27
1988,09/02,Fire Island,24743,,16,219,3,4
1988,09/02,Knik,24750,,,6,,
1988,09/02,Little Jack Slough,24550,,,29,7,11
1988,09/02,Polly Creek,24540,1,1,22,,10
1988,09/02,Pt. Mackenzie,24742,,10,80,,152
1988,09/02,Pt. Possession,24770,,13,"1,056",22,21
1988,09/02,Silver Salmon,24520,,3,592,,3
1988,09/02,Trading Bay,24710,,1,26,,1
1988,09/02,Tuxedni Bay,24530,,39,163,2,25
1988,09/02,Tyonek,24720,,24,152,4,2
1988,09/02,West Side,24610,,21,519,3,80
1988,09/02,,24570,,,101,,
1988,09/05,#3 Bay,24790,,,355,6,14
1988,09/05,Birch Hill,24780,,3,100,3,4
1988,09/05,Chinitna,24510,,68,960,2,28
1988,09/05,East Side,24620,,,217,,10
1988,09/05,Fire Island,24743,,16,257,,1
1988,09/05,Knik,24750,,150,181,,
1988,09/05,Pt. Mackenzie,24742,,2,167,,2
1988,09/05,Pt. Possession,24770,,1,223,,6
1988,09/05,Silver Salmon,24520,1,1,260,,2
1988,09/05,Tyonek,24720,,,11,,
1988,09/05,West Side,24610,,2,188,1,64
1988,09/05,,24570,,1,40,,
1988,09/07,Knik,24750,,,19,,
1988,09/09,#3 Bay,24790,,2,115,2,4
1988,09/09,Chinitna,24510,,,41,,
1988,09/09,East Side,24620,,1,113,,5
1988,09/09,Fire Island,24743,,,134,,
1988,09/09,Pt. Mackenzie,24742,,2,18,,
1988,09/09,Pt. Possession,24770,,1,128,,
1988,09/09,Silver Salmon,24520,,,295,,
1988,09/09,Tuxedni Bay,24530,,1,20,,2
1988,09/09,West Side,24610,,1,216,1,153
1988,09/09,,24450,,,1,,
1988,09/10,Knik,24750,,186,225,,
1988,09/12,#3 Bay,24790,,,40,,1
1988,09/12,Chinitna,24510,,2,20,,1
1988,09/12,East Side,24620,,,29,,5
1988,09/12,Fire Island,24743,,,33,,
1988,09/12,Pt. Mackenzie,24742,,,9,,
1988,09/12,Pt. Possession,24770,,2,56,,
1988,09/12,Silver Salmon,24520,,2,266,,2
1988,09/12,Tuxedni Bay,24530,,,2,,
1988,09/12,West Side,24610,,1,154,,42
1988,09/15,Knik,24750,,26,178,,
1988,09/16,#3 Bay,24790,,,9,,1
1988,09/16,Birch Hill,24780,,,1,,2
1988,09/16,East Side,24620,,,27,,3
1988,09/16,Pt. Mackenzie,24742,,,11,,
1988,09/16,Pt. Possession,24770,,1,38,,1
1988,09/16,Tyonek,24720,,2,24,,
1988,09/16,West Side,24610,,,29,,8
1988,09/19,#3 Bay,24790,,,13,,
1988,09/19,Pt. Possession,24770,,3,43,1,2
1988,09/21,Knik,24750,,14,186,,
1988,09/28,Knik,24750,,1,289,,
1988,10/01,Knik,24750,,,68,,
1988,10/05,Knik,24750,,,73,,
1989,05/26,Big River,24555,129,,,,143
1989,05/29,Big River,24555,162,,,,236
1989,05/31,Big River,24555,146,,,,389
1989,06/02,Big River,24555,83,,,,259
1989,06/05,#3 Bay,24790,78,,,,69
1989,06/05,Beluga,24730,"1,035",,,,21
1989,06/05,Big River,24555,78,,,,968
1989,06/05,Birch Hill,24780,272,,,,100
1989,06/05,Fire Island,24743,359,,,,21
1989,06/05,Pt. Mackenzie,24742,143,,,,
1989,06/05,Pt. Possession,24770,685,,,,261
1989,06/05,Susitna Flats,24741,469,,,,15
1989,06/05,Trading Bay,24710,472,,,,149
1989,06/05,Tyonek,24720,635,,,,11
1989,06/07,Big River,24555,52,,,,597
1989,06/09,Big River,24555,48,,,,238
1989,06/12,#3 Bay,24790,102,,,,132
1989,06/12,Beluga,24730,"1,618",1,,,9
1989,06/12,Big River,24555,49,1,,,283
1989,06/12,Birch Hill,24780,205,1,,,181
1989,06/12,Fire Island,24743,178,,,,12
1989,06/12,Pt. Mackenzie,24742,10,,,,
1989,06/12,Pt. Possession,24770,459,,,,164
1989,06/12,Susitna Flats,24741,125,,,,38
1989,06/12,Trading Bay,24710,"1,612",,,,265
1989,06/12,Tyonek,24720,626,,,,7
1989,06/14,Big River,24555,32,,,,90
1989,06/16,Big River,24555,40,,,,299
1989,06/16,Little Jack Slough,24550,8,,,,5
1989,06/16,Polly Creek,24540,21,,,,46
1989,06/16,Silver Salmon,24520,9,3,,,59
1989,06/16,Tuxedni Bay,24530,32,1,,,129
1989,06/19,#3 Bay,24790,80,1,,,74
1989,06/19,Beluga,24730,694,,,,8
1989,06/19,Big River,24555,32,,,,139
1989,06/19,Birch Hill,24780,88,,,,56
1989,06/19,Fire Island,24743,29,,,,1
1989,06/19,Little Jack Slough,24550,37,,,,196
1989,06/19,Polly Creek,24540,109,,,,128
1989,06/19,Pt. Possession,24770,116,,,,31
1989,06/19,Silver Salmon,24520,24,,,,33
1989,06/19,Susitna Flats,24741,13,,,,1
1989,06/19,Trading Bay,24710,656,,,,66
1989,06/19,Tuxedni Bay,24530,131,1,,1,297
1989,06/19,Tyonek,24720,309,,,,7
1989,06/21,Big River,24555,77,,,,347
1989,06/21,,24460,1,,,1,10
1989,06/21,,24590,,,,,20
1989,06/22,,24590,,,,,4
1989,06/23,Big River,24555,32,,,,209
1989,06/23,Little Jack Slough,24550,65,,,1,127
1989,06/23,Polly Creek,24540,142,1,,,134
1989,06/23,Silver Salmon,24520,9,,,,119
1989,06/23,Tuxedni Bay,24530,74,9,,3,"1,219"
1989,06/23,,24590,,,,,20
1989,06/26,#3 Bay,24790,88,1,,3,106
1989,06/26,Beluga,24730,146,2,,,9
1989,06/26,Big River,24555,38,,,,208
1989,06/26,Birch Hill,24780,30,,,1,25
1989,06/26,Chinitna,24510,1,17,,2,173
1989,06/26,East Side,24620,97,,,,"1,017"
1989,06/26,Fire Island,24743,32,,,,2
1989,06/26,Little Jack Slough,24550,21,,,3,80
1989,06/26,Polly Creek,24540,79,1,,2,365
1989,06/26,Pt. Possession,24770,104,2,,3,54
1989,06/26,Silver Salmon,24520,6,1,,1,205
1989,06/26,Trading Bay,24710,345,,,1,33
1989,06/26,Tuxedni Bay,24530,57,5,1,1,"1,212"
1989,06/26,Tyonek,24720,216,8,,,26
1989,06/26,West Foreland,24560,95,1,2,,37
1989,06/26,West Side,24610,404,2,,6,"2,247"
1989,06/26,,24460,,5,,,17
1989,06/26,,24470,,1,,,7
1989,06/26,,24580,1,1,,,3
1989,06/26,,24590,,,,,7
1989,06/27,,24460,,,,2,12
1989,06/27,,24580,,,,,3
1989,06/28,Cohn,24422,,,,2,11
1989,06/28,Ninilchik,24421,,9,,2,17
1989,06/28,Unknown,24430,1,,,,4
1989,06/28,Unknown,24440,,,,,6
1989,06/28,,24460,,,,,3
1989,06/28,,24590,,3,,,25
1989,06/29,Cohn,24422,,,,,14
1989,06/29,Ninilchik,24421,,,,,4
1989,06/29,Unknown,24430,,,,1,16
1989,06/29,Unknown,24440,,,,,1
1989,06/29,,24460,,4,,1,11
1989,06/29,,24590,,1,,,1
1989,06/30,#3 Bay,24790,26,2,,16,308
1989,06/30,Beluga,24730,64,16,,1,29
1989,06/30,Big River,24555,4,,1,2,109
1989,06/30,Birch Hill,24780,16,,,6,145
1989,06/30,Chinitna,24510,2,66,,15,711
1989,06/30,Cohn,24422,1,,,2,17
1989,06/30,East Side,24620,6,,,3,478
1989,06/30,Fire Island,24743,6,,,1,9
1989,06/30,Little Jack Slough,24550,7,,,3,192
1989,06/30,Ninilchik,24421,,,,,19
1989,06/30,Polly Creek,24540,26,2,,8,389
1989,06/30,Pt. Mackenzie,24742,,1,,,
1989,06/30,Pt. Possession,24770,13,,,10,99
1989,06/30,Silver Salmon,24520,9,2,2,6,528
1989,06/30,Trading Bay,24710,82,5,3,1,79
1989,06/30,Tuxedni Bay,24530,90,22,2,29,"4,133"
1989,06/30,Tyonek,24720,105,53,3,2,133
1989,06/30,Unknown,24430,,,,,4
1989,06/30,Unknown,24440,,,,,2
1989,06/30,West Foreland,24560,16,,3,,96
1989,06/30,West Side,24610,43,6,3,11,"1,434"
1989,06/30,,24590,,,,,49
1989,07/01,Cohn,24422,,,,4,31
1989,07/01,Ninilchik,24421,,,,2,36
1989,07/01,Unknown,24430,1,,,1,60
1989,07/01,Unknown,24440,,,,,3
1989,07/01,,24590,,2,,,13
1989,07/02,Cohn,24422,,,,3,12
1989,07/02,Ninilchik,24421,1,,,,7
1989,07/02,Unknown,24430,,,,,2
1989,07/02,Unknown,24440,,,,,1
1989,07/03,#3 Bay,24790,5,,1,5,234
1989,07/03,Beluga,24730,12,4,4,,21
1989,07/03,Big River,24555,1,,,,32
1989,07/03,Birch Hill,24780,2,,2,13,266
1989,07/03,Chinitna,24510,,52,,7,595
1989,07/03,Cohn,24422,114,1,1,107,"9,224"
1989,07/03,East Side,24620,2,,2,,374
1989,07/03,Fire Island,24743,4,2,,8,36
1989,07/03,Kasilof River Terminal Setnet Area,24425,35,,,,
1989,07/03,Little Jack Slough,24550,1,,1,,105
1989,07/03,Ninilchik,24421,193,1,1,82,"9,347"
1989,07/03,Polly Creek,24540,7,,,2,585
1989,07/03,Pt. Possession,24770,5,,2,15,164
1989,07/03,Silver Salmon,24520,4,1,3,5,266
1989,07/03,Susitna Flats,24741,1,10,2,1,17
1989,07/03,Trading Bay,24710,28,15,9,2,128
1989,07/03,Tuxedni Bay,24530,45,25,6,43,"3,008"
1989,07/03,Tyonek,24720,56,59,9,3,172
1989,07/03,Unknown,24430,135,3,7,28,"8,191"
1989,07/03,Unknown,24440,75,22,7,34,"2,465"
1989,07/03,West Foreland,24560,1,1,,,28
1989,07/03,West Side,24610,9,1,8,7,374
1989,07/03,,24590,,2,,,74
1989,07/04,,24450,,22,,,36
1989,07/04,,24460,,10,,,30
1989,07/04,,24590,,,,,2
1989,07/05,Kasilof River Terminal Setnet Area,24425,,,,,140
1989,07/05,,24460,,14,,1,48
1989,07/06,Kasilof River Terminal Setnet Area,24425,1,,,2,
1989,07/07,#3 Bay,24790,2,3,10,42,686
1989,07/07,Beluga,24730,6,108,44,23,455
1989,07/07,Big River,24555,1,,6,2,183
1989,07/07,Birch Hill,24780,2,6,5,34,731
1989,07/07,Chinitna,24510,5,121,16,30,459
1989,07/07,East Side,24620,6,,29,18,515
1989,07/07,Fire Island,24743,2,6,1,14,144
1989,07/07,Kasilof River Terminal Setnet Area,24425,,,,,174
1989,07/07,Little Jack Slough,24550,12,,7,17,295
1989,07/07,Polly Creek,24540,27,8,1,12,429
1989,07/07,Pt. Mackenzie,24742,,29,,2,103
1989,07/07,Pt. Possession,24770,2,77,21,92,"1,083"
1989,07/07,Silver Salmon,24520,2,1,5,9,377
1989,07/07,Susitna Flats,24741,1,28,6,4,18
1989,07/07,Trading Bay,24710,18,3,111,58,647
1989,07/07,Tuxedni Bay,24530,44,69,14,53,"1,827"
1989,07/07,Tyonek,24720,27,125,186,105,"1,183"
1989,07/07,Unknown,24430,197,3,4,184,"11,372"
1989,07/07,Unknown,24440,134,9,26,170,"4,964"
1989,07/07,West Foreland,24560,3,,21,2,159
1989,07/07,West Side,24610,8,5,99,37,887
1989,07/07,,24470,,10,,3,23
1989,07/08,Cohn,24422,,,,2,32
1989,07/08,Ninilchik,24421,1,,,5,27
1989,07/09,Cohn,24422,3,,1,20,280
1989,07/09,Ninilchik,24421,4,,,9,127
1989,07/09,,24470,,10,,,81
1989,07/10,#3 Bay,24790,,4,2,72,275
1989,07/10,Beluga,24730,10,48,191,38,797
1989,07/10,Big River,24555,1,1,14,6,113
1989,07/10,Birch Hill,24780,1,1,5,158,440
1989,07/10,Chinitna,24510,,131,,47,164
1989,07/10,Cohn,24422,109,1,5,442,"6,692"
1989,07/10,East Side,24620,6,,39,49,526
1989,07/10,Fire Island,24743,2,7,4,58,96
1989,07/10,Little Jack Slough,24550,,2,12,27,171
1989,07/10,Ninilchik,24421,328,,3,760,"16,747"
1989,07/10,Polly Creek,24540,15,4,13,40,624
1989,07/10,Pt. Possession,24770,1,5,17,217,805
1989,07/10,Silver Salmon,24520,1,4,21,59,488
1989,07/10,Susitna Flats,24741,,11,4,84,39
1989,07/10,Trading Bay,24710,16,8,179,162,474
1989,07/10,Tuxedni Bay,24530,60,118,32,137,"2,576"
1989,07/10,Tyonek,24720,18,14,171,243,552
1989,07/10,Unknown,24430,379,9,53,261,"11,925"
1989,07/10,Unknown,24440,135,20,36,576,"6,581"
1989,07/10,West Foreland,24560,4,,36,7,218
1989,07/10,West Side,24610,5,14,99,75,754
1989,07/10,,24450,,79,7,10,308
1989,07/10,,24460,,,,,883
1989,07/10,,24470,,,,,23
1989,07/11,Cohn,24422,17,,1,69,"3,913"
1989,07/11,Ninilchik,24421,28,,,47,"4,251"
1989,07/11,Unknown,24430,12,,,2,694
1989,07/11,,24450,,36,5,6,610
1989,07/11,,24460,,9,4,9,169
1989,07/11,,24470,,20,,,36
1989,07/12,Cohn,24422,154,3,20,547,"16,440"
1989,07/12,Kasilof River Terminal Setnet Area,24425,104,,,10,375
1989,07/12,Ninilchik,24421,177,1,8,898,"17,850"
1989,07/12,Unknown,24430,191,2,9,129,"37,575"
1989,07/12,,24450,,162,18,12,809
1989,07/12,,24460,,3,1,1,82
1989,07/13,Cohn,24422,55,15,76,719,"13,348"
1989,07/13,Kasilof River Terminal Setnet Area,24425,,,,2,199
1989,07/13,Ninilchik,24421,165,5,16,"2,690","15,861"
1989,07/13,Unknown,24430,116,1,30,83,"116,608"
1989,07/13,Unknown,24440,522,757,466,116,"111,011"
1989,07/13,,24470,,18,1,2,110
1989,07/14,#3 Bay,24790,,12,56,22,"1,125"
1989,07/14,Beluga,24730,,52,40,,313
1989,07/14,Big River,24555,,,50,10,191
1989,07/14,Birch Hill,24780,,26,126,37,"4,458"
1989,07/14,Chinitna,24510,,112,4,24,181
1989,07/14,Cohn,24422,51,24,53,655,"12,964"
1989,07/14,East Side,24620,4,6,201,40,"2,708"
1989,07/14,Fire Island,24743,1,2,28,10,"1,697"
1989,07/14,Kasilof River Terminal Setnet Area,24425,38,,,4,66
1989,07/14,Little Jack Slough,24550,,2,9,12,151
1989,07/14,Ninilchik,24421,106,1,16,"2,169","10,922"
1989,07/14,Polly Creek,24540,9,11,12,36,984
1989,07/14,Pt. Mackenzie,24742,,17,21,,552
1989,07/14,Pt. Possession,24770,2,"1,668",698,158,"17,963"
1989,07/14,Silver Salmon,24520,5,3,4,6,458
1989,07/14,Trading Bay,24710,11,225,"1,145",331,"7,180"
1989,07/14,Tuxedni Bay,24530,21,247,87,236,"4,630"
1989,07/14,Tyonek,24720,8,266,727,251,"6,869"
1989,07/14,Unknown,24430,68,2,50,114,"88,039"
1989,07/14,Unknown,24440,43,648,966,276,"94,071"
1989,07/14,West Foreland,24560,,,73,6,"1,754"
1989,07/14,West Side,24610,6,2,421,103,"3,988"
1989,07/15,#3 Bay,24790,,12,59,15,571
1989,07/15,Beluga,24730,10,742,315,72,"3,213"
1989,07/15,Birch Hill,24780,,70,295,32,"4,997"
1989,07/15,East Side,24620,4,2,212,60,"1,991"
1989,07/15,Fire Island,24743,,70,54,33,"2,747"
1989,07/15,Kasilof River Terminal Setnet Area,24425,,,,,26
1989,07/15,Pt. Mackenzie,24742,,143,118,29,"4,219"
1989,07/15,Pt. Possession,24770,3,"1,845",785,122,"17,549"
1989,07/15,Susitna Flats,24741,1,121,65,4,867
1989,07/15,Trading Bay,24710,8,143,"1,321",305,"9,629"
1989,07/15,Tyonek,24720,7,492,"1,235",301,"11,698"
1989,07/15,Unknown,24430,96,11,43,248,"50,729"
1989,07/15,Unknown,24440,93,326,616,273,"78,648"
1989,07/15,West Foreland,24560,1,1,197,18,"3,703"
1989,07/15,West Side,24610,2,72,159,86,"1,810"
1989,07/15,,24470,,32,,3,27
1989,07/16,East Side,24620,5,19,255,75,"2,268"
1989,07/16,Kasilof River Terminal Setnet Area,24425,,,,,62
1989,07/16,Unknown,24430,141,5,76,360,"117,249"
1989,07/16,Unknown,24440,82,256,910,442,"155,451"
1989,07/16,West Foreland,24560,,,107,9,"1,886"
1989,07/16,West Side,24610,6,108,573,159,"2,768"
1989,07/16,,24450,,80,54,24,751
1989,07/17,#3 Bay,24790,2,2,51,38,554
1989,07/17,Beluga,24730,22,"1,789","4,365","1,506","16,244"
1989,07/17,Big River,24555,,,592,27,611
1989,07/17,Birch Hill,24780,,103,118,65,"1,288"
1989,07/17,Chinitna,24510,,173,9,56,90
1989,07/17,Cohn,24422,92,5,23,568,"13,409"
1989,07/17,East Side,24620,4,2,145,37,703
1989,07/17,Fire Island,24743,1,"1,206",129,117,"1,764"
1989,07/17,Kasilof River Terminal Setnet Area,24425,3,,,1,139
1989,07/17,Little Jack Slough,24550,,10,18,16,483
1989,07/17,Ninilchik,24421,140,2,16,"1,017","16,388"
1989,07/17,Polly Creek,24540,8,67,54,46,"1,372"
1989,07/17,Pt. Mackenzie,24742,1,122,40,30,"1,698"
1989,07/17,Pt. Possession,24770,,778,208,108,"2,829"
1989,07/17,Silver Salmon,24520,1,11,7,27,46
1989,07/17,Susitna Flats,24741,1,509,160,105,"2,067"
1989,07/17,Trading Bay,24710,2,49,766,564,"3,634"
1989,07/17,Tuxedni Bay,24530,11,274,121,60,"1,031"
1989,07/17,Tyonek,24720,,134,"1,150",413,"5,116"
1989,07/17,Unknown,24430,157,1,23,274,"117,249"
1989,07/17,Unknown,24440,137,186,428,484,"159,835"
1989,07/17,West Foreland,24560,,,147,40,"1,550"
1989,07/17,West Side,24610,5,73,531,114,"5,396"
1989,07/17,,24450,,41,9,10,50
1989,07/17,,24460,,50,15,22,312
1989,07/17,,24470,,8,1,,20
1989,07/18,East Side,24620,1,,49,22,366
1989,07/18,Unknown,24430,92,2,27,212,"31,800"
1989,07/18,Unknown,24440,89,187,213,456,"66,043"
1989,07/18,West Foreland,24560,2,1,132,23,"1,290"
1989,07/18,West Side,24610,2,3,68,31,813
1989,07/18,,24450,,51,17,14,229
1989,07/18,,24460,,80,18,19,482
1989,07/19,Big River,24555,,,71,,50
1989,07/19,East Side,24620,6,13,756,36,"2,383"
1989,07/19,Kasilof River Terminal Setnet Area,24425,,,,4,165
1989,07/19,Unknown,24430,122,1,40,205,"118,459"
1989,07/19,Unknown,24440,69,211,615,712,"132,762"
1989,07/19,West Foreland,24560,1,1,223,11,"1,128"
1989,07/19,West Side,24610,6,56,503,81,"2,948"
1989,07/19,,24470,,7,11,1,42
1989,07/20,Cohn,24422,66,3,32,335,"52,225"
1989,07/20,East Side,24620,4,7,652,36,"3,107"
1989,07/20,Kasilof River Terminal Setnet Area,24425,,,,6,751
1989,07/20,Ninilchik,24421,141,,57,732,"13,673"
1989,07/20,Unknown,24430,221,5,80,241,"145,299"
1989,07/20,Unknown,24440,65,244,595,664,"193,306"
1989,07/20,West Foreland,24560,,,522,36,"4,360"
1989,07/20,West Side,24610,8,50,777,110,"3,549"
1989,07/21,#3 Bay,24790,,9,23,136,555
1989,07/21,Beluga,24730,19,"3,266","12,174","2,386","18,552"
1989,07/21,Big River,24555,,,58,4,89
1989,07/21,Birch Hill,24780,,29,80,150,"2,075"
1989,07/21,Chinitna,24510,1,357,26,34,89
1989,07/21,Cohn,24422,109,,"2,889",441,"72,568"
1989,07/21,East Side,24620,2,3,276,40,"1,248"
1989,07/21,Fire Island,24743,1,"1,243",320,186,"2,447"
1989,07/21,Kasilof River Terminal Setnet Area,24425,,2,,,157
1989,07/21,Little Jack Slough,24550,,7,338,44,"1,047"
1989,07/21,Ninilchik,24421,239,2,42,810,"10,335"
1989,07/21,Polly Creek,24540,4,94,52,27,"1,850"
1989,07/21,Pt. Mackenzie,24742,,82,122,13,"1,010"
1989,07/21,Pt. Possession,24770,,"3,169",874,356,"8,427"
1989,07/21,Silver Salmon,24520,2,17,25,35,256
1989,07/21,Susitna Flats,24741,2,904,373,133,"2,309"
1989,07/21,Trading Bay,24710,2,213,"1,354",429,"5,779"
1989,07/21,Tuxedni Bay,24530,5,520,154,71,"2,341"
1989,07/21,Tyonek,24720,7,323,"1,127",346,"2,237"
1989,07/21,Unknown,24430,176,4,151,313,"154,549"
1989,07/21,Unknown,24440,62,203,894,762,"128,287"
